date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:20:57	861/-1	---M--	200	added ('OK')	text/html	date:Tue,%2002%20Dec%202025%2016:20:56%20GMT	https://choebyeonlawfirm.co.kr/logout.cm?back_url=Lw%3D%3D	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/choebyeonlawfirm.co.kr/logout4d32.html	(from https://choebyeonlawfirm.co.kr/)
01:20:58	978275/-1	---M--	200	added ('OK')	text/html	date:Tue,%2002%20Dec%202025%2016:20:57%20GMT	https://choebyeonlawfirm.co.kr/home	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/choebyeonlawfirm.co.kr/home.html	(from https://choebyeonlawfirm.co.kr/)
01:20:59	318940/-1	---M--	200	added ('OK')	text/html	date:Tue,%2002%20Dec%202025%2016:20:58%20GMT	https://choebyeonlawfirm.co.kr/case	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/choebyeonlawfirm.co.kr/case.html	(from https://choebyeonlawfirm.co.kr/)
01:20:59	18724/18724	---M--	200	added ('OK')	image/jpeg	etag:%22b66817a8ba55b6095c26cf7ffca48b4a%22	https://cdn.imweb.me/thumbnail/20250907/59a0d7d7386d4.jpg	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/cdn.imweb.me/thumbnail/20250907/59a0d7d7386d4.jpg	(from https://choebyeonlawfirm.co.kr/)
01:20:59	331570/-1	---M--	200	added ('OK')	text/html	date:Tue,%2002%20Dec%202025%2016:20:59%20GMT	https://choebyeonlawfirm.co.kr/inquiry	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/choebyeonlawfirm.co.kr/inquiry.html	(from https://choebyeonlawfirm.co.kr/)
01:20:59	6648/6648	---M--	200	added ('OK')	image/jpeg	etag:%220c410436afbb9272ce78739bdb529a41%22	https://cdn.imweb.me/thumbnail/20250907/2f2549917d60a.jpg	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/cdn.imweb.me/thumbnail/20250907/2f2549917d60a.jpg	(from https://choebyeonlawfirm.co.kr/)
01:21:00	351549/351549	---M--	200	added ('OK')	image/jpeg	etag:%224184f778a8a58305b06be5016afa95d1%22	https://cdn.imweb.me/thumbnail/20250328/79e2cd78ae383.jpg	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/cdn.imweb.me/thumbnail/20250328/79e2cd78ae383.jpg	(from https://choebyeonlawfirm.co.kr/)
01:21:00	84711/84711	---M--	200	added ('OK')	image/jpeg	etag:%225bf662d50ee3233cffd1e83de94fcf79%22	https://cdn.imweb.me/thumbnail/20250329/7a42c3d65ab4e.jpg	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/cdn.imweb.me/thumbnail/20250329/7a42c3d65ab4e.jpg	(from https://choebyeonlawfirm.co.kr/)
01:21:00	422377/-1	---M--	200	added ('OK')	text/html	date:Tue,%2002%20Dec%202025%2016:21:00%20GMT	https://choebyeonlawfirm.co.kr/case-all	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/choebyeonlawfirm.co.kr/case-all.html	(from https://choebyeonlawfirm.co.kr/)
01:21:01	208327/208327	---M--	200	added ('OK')	image/jpeg	etag:%22e15513a4622b67033c51f8c6a1daa286%22	https://cdn.imweb.me/thumbnail/20250329/3c89d5315bbaa.jpg	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/cdn.imweb.me/thumbnail/20250329/3c89d5315bbaa.jpg	(from https://choebyeonlawfirm.co.kr/)
